Tree,Elevation,Length,seg_num,branch_num
19,533,25,4,5
19,533,14,3,5
19,533,17,2,5
19,533,6,1,5
19,533,8,5,6
19,533,17,4,6
19,533,14,3,6
19,533,10,2,6
19,533,24,1,6
19,533,8,5,7
19,533,10,4,7
19,533,18,3,7
19,533,12,2,7
19,533,11,1,7
19,533,17,5,8
19,533,14,4,8
19,533,11,3,8
19,533,12,2,8
19,533,17,1,8
19,533,27,5,9
19,533,23,4,9
19,533,14,3,9
19,533,16,2,9
19,533,13,1,9
19,533,5,5,10
19,533,18,4,10
19,533,12,3,10
19,533,1,2,10
19,533,8,1,10
20,532,14,5,1
20,532,14,4,1
20,532,13,3,1
20,532,11,2,1
20,532,18,1,1
20,532,18,5,2
20,532,14,4,2
20,532,15,3,2
20,532,16,2,2
20,532,15,1,2
20,532,14,5,3
20,532,12,4,3
20,532,20,3,3
20,532,18,2,3
20,532,19,1,3
20,532,18,5,4
20,532,19,4,4
20,532,17,3,4
20,532,13,2,4
20,532,16,1,4
20,532,10,5,5
20,532,19,4,5
20,532,17,3,5
20,532,12,2,5
20,532,19,1,5
20,532,17,5,6
20,532,11,4,6
20,532,13,3,6
20,532,18,2,6
20,532,18,1,6
20,532,17,5,7
20,532,5,4,7
20,532,14,3,7
20,532,13,2,7
20,532,20,1,7
20,532,19,5,8
20,532,18,4,8
20,532,15,3,8
20,532,12,2,8
20,532,18,1,8
20,532,17,5,9
20,532,12,4,9
20,532,13,3,9
20,532,9,2,9
20,532,15,1,9
20,532,10,5,10
20,532,10,4,10
20,532,13,3,10
20,532,5,2,10
20,532,10,1,10
21,504,21,5,1
21,504,13,4,1
21,504,5,3,1
21,504,12,2,1
21,504,13,1,1
21,504,11,5,2
21,504,16,4,2
21,504,6,3,2
21,504,14,2,2
21,504,10,1,2
21,504,21,5,3
21,504,16,4,3
21,504,12,3,3
21,504,12,2,3
21,504,23,1,3
21,504,5,5,4
21,504,20,4,4
21,504,20,3,4
21,504,11,2,4
21,504,5,1,4
21,504,9,5,5
21,504,16,4,5
21,504,12,3,5
21,504,7,2,5
21,504,11,1,5
21,504,3,5,6
21,504,16,4,6
21,504,12,3,6
21,504,2,2,6
21,504,15,1,6
21,504,11,5,7
21,504,20,4,7
21,504,9,3,7
21,504,18,2,7
21,504,13,1,7
21,504,26,5,8
21,504,11,4,8
21,504,7,3,8
21,504,19,2,8
21,504,5,1,8
21,504,19,5,9
21,504,18,4,9
21,504,14,3,9
21,504,11,2,9
21,504,20,1,9
21,504,12,5,10
21,504,15,4,10
21,504,13,3,10
21,504,23,2,10
21,504,9,1,10
22,501,28,5,1
22,501,20,4,1
22,501,16,3,1
22,501,19,2,1
22,501,13,1,1
22,501,9,5,2
22,501,11,4,2
22,501,23,3,2
22,501,20,2,2
22,501,15,1,2
22,501,12,5,3
22,501,13,4,3
22,501,6,3,3
22,501,6,2,3
22,501,17,1,3
22,501,21,5,4
22,501,10,4,4
22,501,15,3,4
22,501,13,2,4
22,501,20,1,4
22,501,20,5,5
22,501,15,4,5
22,501,21,3,5
22,501,14,2,5
22,501,13,1,5
22,501,26,5,6
22,501,15,4,6
22,501,17,3,6
22,501,13,2,6
22,501,24,1,6
22,501,28,5,7
22,501,23,4,7
22,501,20,3,7
22,501,14,2,7
22,501,16,1,7
22,501,13,5,8
22,501,17,4,8
22,501,19,3,8
22,501,16,2,8
22,501,4,1,8
22,501,15,5,9
22,501,18,4,9
22,501,21,3,9
22,501,19,2,9
22,501,31,1,9
22,501,23,5,10
22,501,13,4,10
22,501,20,3,10
22,501,17,2,10
22,501,14,1,10
23,503,11,5,1
23,503,17,4,1
23,503,12,3,1
23,503,11,2,1
23,503,10,1,1
23,503,4,5,2
23,503,3,4,2
23,503,6,3,2
23,503,9,2,2
23,503,6,1,2
23,503,16,5,3
23,503,11,4,3
23,503,12,3,3
23,503,21,2,3
23,503,15,1,3
23,503,3,5,4
23,503,2,4,4
23,503,9,3,4
23,503,11,2,4
23,503,9,1,4
23,503,7,5,5
23,503,14,4,5
23,503,6,3,5
23,503,8,2,5
23,503,12,1,5
23,503,14,5,6
23,503,6,4,6
23,503,11,3,6
23,503,9,2,6
23,503,10,1,6
23,503,16,5,7
23,503,18,4,7
23,503,18,3,7
23,503,5,2,7
23,503,15,1,7
23,503,9,5,8
23,503,15,4,8
23,503,9,3,8
23,503,9,2,8
23,503,12,1,8
23,503,11,5,9
23,503,6,4,9
23,503,10,3,9
23,503,6,2,9
23,503,7,1,9
23,503,5,5,10
23,503,5,4,10
23,503,10,3,10
23,503,7,2,10
23,503,15,1,10
24,503,10,5,1
24,503,4,4,1
24,503,6,3,1
24,503,2,2,1
24,503,12,1,1
24,503,18,5,2
24,503,6,4,2
24,503,12,3,2
24,503,11,2,2
24,503,10,1,2
24,503,4,5,3
24,503,7,4,3
24,503,9,3,3
24,503,7,2,3
24,503,16,1,3
24,503,21,5,4
24,503,18,4,4
24,503,4,3,4
24,503,6,2,4
24,503,9,1,4
24,503,9,5,5
24,503,9,4,5
24,503,6,3,5
24,503,6,2,5
24,503,26,1,5
24,503,16,5,6
24,503,20,4,6
24,503,16,3,6
24,503,5,2,6
24,503,12,1,6
24,503,4,5,7
24,503,10,4,7
24,503,8,3,7
24,503,10,2,7
24,503,14,1,7
24,503,31,5,8
24,503,26,4,8
24,503,15,3,8
24,503,11,2,8
24,503,15,1,8
24,503,23,5,9
24,503,22,4,9
24,503,2,3,9
24,503,20,2,9
24,503,9,1,9
24,503,13,5,10
24,503,15,4,10
24,503,13,3,10
24,503,5,2,10
24,503,9,1,10
25,504,26,5,1
25,504,14,4,1
25,504,12,3,1
25,504,18,2,1
25,504,24,1,1
25,504,24,5,2
25,504,14,4,2
25,504,23,3,2
25,504,19,2,2
25,504,16,1,2
25,504,25,5,3
25,504,11,4,3
25,504,14,3,3
25,504,20,2,3
25,504,25,1,3
25,504,11,5,4
25,504,22,4,4
25,504,24,3,4
25,504,15,2,4
25,504,24,1,4
25,504,15,5,5
25,504,12,4,5
25,504,9,3,5
25,504,13,2,5
25,504,18,1,5
25,504,19,5,6
25,504,16,4,6
25,504,21,3,6
25,504,24,2,6
25,504,12,1,6
25,504,14,5,7
25,504,26,4,7
25,504,11,3,7
25,504,13,2,7
25,504,10,1,7
25,504,9,5,8
25,504,12,4,8
25,504,19,3,8
25,504,17,2,8
25,504,4,1,8
25,504,32,5,9
25,504,25,4,9
25,504,15,3,9
25,504,16,2,9
25,504,16,1,9
25,504,27,5,10
25,504,15,4,10
25,504,22,3,10
25,504,25,2,10
25,504,24,1,10
26,506,21,5,1
26,506,7,4,1
26,506,14,3,1
26,506,12,2,1
26,506,14,1,1
26,506,28,5,2
26,506,2,4,2
26,506,15,3,2
26,506,14,2,2
26,506,14,1,2
26,506,17,5,3
26,506,10,4,3
26,506,7,3,3
26,506,14,2,3
26,506,8,1,3
26,506,22,5,4
26,506,10,4,4
26,506,12,3,4
26,506,10,2,4
26,506,10,1,4
26,506,24,5,5
26,506,13,4,5
26,506,13,3,5
26,506,11,2,5
26,506,16,1,5
26,506,5,5,6
26,506,15,4,6
26,506,9,3,6
26,506,9,2,6
26,506,3,1,6
26,506,28,5,7
26,506,20,4,7
26,506,18,3,7
26,506,17,2,7
26,506,15,1,7
26,506,15,5,8
26,506,15,4,8
26,506,13,3,8
26,506,12,2,8
26,506,5,1,8
26,506,5,5,9
26,506,14,4,9
26,506,2,3,9
26,506,16,2,9
26,506,18,1,9
26,506,17,5,10
26,506,11,4,10
26,506,15,3,10
26,506,11,2,10
26,506,17,1,10
27,513,6,5,1
27,513,13,4,1
27,513,17,3,1
27,513,33,2,1
27,513,19,1,1
27,513,19,5,2
27,513,20,4,2
27,513,13,3,2
27,513,8,2,2
27,513,8,1,2
27,513,10,5,3
27,513,18,4,3
27,513,18,3,3
27,513,16,2,3
27,513,13,1,3
27,513,15,5,4
27,513,15,4,4
27,513,13,3,4
27,513,14,2,4
27,513,14,1,4
27,513,16,5,5
27,513,20,4,5
27,513,26,3,5
27,513,25,2,5
27,513,15,1,5
27,513,16,5,6
27,513,22,4,6
27,513,15,3,6
27,513,16,2,6
27,513,13,1,6
27,513,11,5,7
27,513,15,4,7
27,513,1,3,7
27,513,30,2,7
27,513,6,1,7
27,513,10,5,8
27,513,19,4,8
27,513,27,3,8
27,513,32,2,8
27,513,3,1,8
27,513,33,5,9
27,513,15,4,9
27,513,19,3,9
27,513,16,2,9
27,513,17,1,9
27,513,22,5,10
27,513,27,4,10
27,513,27,3,10
27,513,27,2,10
27,513,3,1,10
